#front;back
二;に<br><br>two
十;じゅう<br><br>ten
下さい;ください<br><br>please
三;さん<br><br>three
下;した<br><br>down, below, under, beneath
二人;ふたり<br><br>two people, pair, two persons
二つ;ふたつ<br><br>two things
入れる;いれる<br><br>to insert, to put in
人口;じんこう<br><br>population
大きさ;おおきさ<br><br>size
女;おんな<br><br>woman, female
川;かわ<br><br>river
七;なな, しち<br><br>seven
三人;さんにん<br><br>three people, three persons
アメリカ人;あめりかじん, アメリカじん<br><br>american, american person
七つ;ななつ<br><br>seven things
口;くち<br><br>mouth
人工;じんこう<br><br>artificial, man made, human made, human work, human skill, artificially
上がる;あがる<br><br>to rise
大人;おとな<br><br>adult
一人;ひとり<br><br>alone, one person
大きい;おおきい<br><br>big, large
大した;たいした<br><br>considerable, great, important, big deal
八;はち<br><br>eight
八つ;やっつ<br><br>eight things
入り口;いりぐち<br><br>entrance
フランス人;ふらんすじん, フランスじん<br><br>frenchman, french person
山;やま<br><br>mountain
ふじ山;ふじさん<br><br>mt fuji, mount fuji, mt. fuji
九;きゅう, く<br><br>nine
九つ;ここのつ<br><br>nine things
一;いち<br><br>one
一つ;ひとつ<br><br>one thing
人;ひと<br><br>person
力;ちから<br><br>power, strength
三つ;みっつ<br><br>three things
上る;のぼる<br><br>to climb
入る;はいる<br><br>to enter
下がる;さがる<br><br>to hang down, to hang
下げる;さげる<br><br>to hang, to lower, to hang something, to lower something
上げる;あげる<br><br>to raise, to raise something
上;うえ<br><br>up, above
六;ろく<br><br>six
石;いし<br><br>stone
刀;かたな<br><br>katana, sword
五月;ごがつ<br><br>may
天才;てんさい<br><br>genius
王;おう<br><br>king
立つ;たつ<br><br>to stand
白;しろ<br><br>white
四十;よんじゅう<br><br>forty
左手;ひだりて<br><br>left hand
火;ひ<br><br>fire
犬;いぬ<br><br>dog
玉;たま<br><br>ball
一千;いっせん<br><br>one thousand
左;ひだり<br><br>left direction, left
千;せん<br><br>thousand
王子;おうじ<br><br>prince
千円;せんえん<br><br>1000 yen, one thousand yen, a thousand yen, thousand yen
丸い;まるい<br><br>circular, round, spherical
中々;なかなか<br><br>very, considerably, quite
六月;ろくがつ<br><br>june
中;なか<br><br>middle, in, inside, center
丸;まる<br><br>circle, round, circular
五十;ごじゅう<br><br>fifty
六つ;むっつ<br><br>six things
十六;じゅうろく<br><br>sixteen
出す;だす<br><br>to remove, to hand over, to take out, to reveal
四十二;よんじゅうに<br><br>forty two, the answer
子犬;こいぬ<br><br>puppy
右;みぎ<br><br>right direction, right
四;よん, し<br><br>four
四千;よんせん<br><br>four thousand
天;てん<br><br>heaven
上手;じょうず<br><br>good at, skillful, skilled at, skilled
下手;へた<br><br>unskillful, unskilled, bad at, not good at, not skilled
文;ぶん<br><br>writing, sentence
一月;いちがつ<br><br>january
月;つき<br><br>moon, month
木;き<br><br>tree, wood
本;ほん<br><br>book, origin, real, main
正す;ただす<br><br>to correct
水;みず<br><br>water
火山;かざん<br><br>volcano
田;た<br><br>rice field, rice paddy
女子;じょし<br><br>girl
ビー玉;びーだま, ビーだま<br><br>marble
夕べ;ゆうべ<br><br>evening, last night
日;ひ<br><br>sun, day
王女;おうじょ<br><br>princess
土;つち<br><br>soil, earth, ground, dirt
五日;いつか<br><br>fifth day, day five, five days
子;こ<br><br>kid, child
小さい;ちいさい<br><br>small, little
正しい;ただしい<br><br>correct, true
水中;すいちゅう<br><br>underwater
二日;ふつか<br><br>second day, day two, two days
人々;ひとびと<br><br>people, everybody, each person
八日;ようか<br><br>eight days, day eight, eighth day
九日;ここのか<br><br>nine days, day nine, ninth day
大いに;おおいに<br><br>very, much, greatly, a lot of, very much
一日;いちにち, ついたち<br><br>one day, day one, first day
四月;しがつ<br><br>april
二月;にがつ<br><br>february
又;また<br><br>again, and
白人;はくじん<br><br>caucasian, white person, white people
出口;でぐち<br><br>exit
目;め<br><br>eye
目玉;めだま<br><br>eyeball
五;ご<br><br>five
円;えん<br><br>money, yen
五つ;いつつ<br><br>five things
十月;じゅうがつ<br><br>october
四日;よっか<br><br>fourth day, day four, four days
玉ねぎ;たまねぎ<br><br>onion, round onion
女王;じょおう<br><br>queen
四つ;よっつ<br><br>four things
